adjacent_lower_tolerance,adjacent_upper_tolerance,breakout_anchor_difference,detection_shift,invalidation_anchor_difference,lineage_class,lower_first_detected_index,lower_lifecycle_ordinal,lower_terminal_index,lower_tolerance,market,root_swing_identity_sha256,symbol,terminal_shift,upper_first_detected_index,upper_lifecycle_ordinal,upper_terminal_index,upper_tolerance
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,327,1,334,0.03,CN,sha256:303498633eb53321ee39d1ff93f3e208b99ad5e3f333ac9917adf5eb1e571206,001203.SZ,0,327,1,334,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,455,2,456,0.03,CN,sha256:2a7d81f75596edfd6c83ce1a4f27a866ce9af71c6c38e4751ceb4333a17b8491,001203.SZ,0,455,3,456,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,615,3,627,0.03,CN,sha256:ae77b90cdcd1c51f7ab7ff18b200efc7e7065854f9637b946384c7ce8e464ffb,001203.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1082,4,1082,0.03,CN,sha256:5f0e4e8d75ed104fc9f45ead30cf94dc6576e39701185af26cb20ca78206763d,001203.SZ,0,1082,5,1082,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:fbc2f9d102c23e8b50de2443440bcef2fc70b8631811123d1188dc4f8cbe9727,001203.SZ,,395,2,398,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:d2ede47c48ee07e9e5b7da4545c63d9c1b6c0a9b93e8e3207754148600e83a9a,001203.SZ,,593,4,627,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,327,1,334,0.04,CN,sha256:303498633eb53321ee39d1ff93f3e208b99ad5e3f333ac9917adf5eb1e571206,001203.SZ,0,327,1,334,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,395,2,398,0.04,CN,sha256:fbc2f9d102c23e8b50de2443440bcef2fc70b8631811123d1188dc4f8cbe9727,001203.SZ,0,395,2,398,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,455,3,456,0.04,CN,sha256:2a7d81f75596edfd6c83ce1a4f27a866ce9af71c6c38e4751ceb4333a17b8491,001203.SZ,0,455,3,456,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,593,4,627,0.04,CN,sha256:d2ede47c48ee07e9e5b7da4545c63d9c1b6c0a9b93e8e3207754148600e83a9a,001203.SZ,0,593,4,627,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1082,5,1082,0.04,CN,sha256:5f0e4e8d75ed104fc9f45ead30cf94dc6576e39701185af26cb20ca78206763d,001203.SZ,0,1082,5,1082,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,62,1,64,0.03,CN,sha256:ca916fadc7ec86273ec9e4a74e22d03db957a9dd95b997f5c3717a776a6da28d,001696.SZ,0,62,1,64,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1583,2,1583,0.03,CN,sha256:138fed5409cd6f5e73fd868e7fc737eb352238f7e0c341fac85673ed9532156b,001696.SZ,0,1583,5,1583,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1656,3,1657,0.03,CN,sha256:1a2854a498551f796653544c0ad2623329448ea414d138bdc07eb3433511a119,001696.SZ,0,1656,6,1657,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1674,4,1713,0.03,CN,sha256:fdb34d060357944f7fbc9723a09d81fd00475f45f9002c4b1ca4c9bf8c337d8a,001696.SZ,0,1674,7,1713,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2266,5,2267,0.03,CN,sha256:31b9b54d5cc51ef436377a1006287fd0168fdee645e0b3e0449a5b4c1a059866,001696.SZ,0,2266,9,2267,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:d9a4ed136d6b0445888336a005a6a412bc24f2f5d896c02278bf3861ee4d4e72,001696.SZ,,157,2,233,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:1f3e4f0d870f7b55711976237b790aeb1bc09cc6fec7df0874f422304ba7177e,001696.SZ,,957,3,968,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:b0b37cfa196a9c0a931228042218486e92ca5f6300fdda1245d378c05464a455,001696.SZ,,1197,4,1197,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:00bfdbe16828cee72547e5b8b23955075e8cf3b9158dd6dfea67692e76954d7a,001696.SZ,,2141,8,2147,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,62,1,64,0.04,CN,sha256:ca916fadc7ec86273ec9e4a74e22d03db957a9dd95b997f5c3717a776a6da28d,001696.SZ,0,62,1,64,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,157,2,233,0.04,CN,sha256:d9a4ed136d6b0445888336a005a6a412bc24f2f5d896c02278bf3861ee4d4e72,001696.SZ,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,957,3,968,0.04,CN,sha256:1f3e4f0d870f7b55711976237b790aeb1bc09cc6fec7df0874f422304ba7177e,001696.SZ,0,957,3,968,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1197,4,1197,0.04,CN,sha256:b0b37cfa196a9c0a931228042218486e92ca5f6300fdda1245d378c05464a455,001696.SZ,0,1197,5,1197,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1583,5,1583,0.04,CN,sha256:138fed5409cd6f5e73fd868e7fc737eb352238f7e0c341fac85673ed9532156b,001696.SZ,0,1583,7,1583,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1656,6,1657,0.04,CN,sha256:1a2854a498551f796653544c0ad2623329448ea414d138bdc07eb3433511a119,001696.SZ,0,1656,8,1657,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1674,7,1713,0.04,CN,sha256:fdb34d060357944f7fbc9723a09d81fd00475f45f9002c4b1ca4c9bf8c337d8a,001696.SZ,0,1674,9,1713,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2141,8,2147,0.04,CN,sha256:00bfdbe16828cee72547e5b8b23955075e8cf3b9158dd6dfea67692e76954d7a,001696.SZ,0,2141,10,2147,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2266,9,2267,0.04,CN,sha256:31b9b54d5cc51ef436377a1006287fd0168fdee645e0b3e0449a5b4c1a059866,001696.SZ,0,2266,11,2267,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:a9cd2b36e9ea8307e0ae51d4a7c9b57d1b12a35460dc5863ac0a651b8c6034be,001696.SZ,,140,2,233,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4f2f509515f548c82c91f9ea77319b7d069a987af3ff0792a7e0c9c82493f187,001696.SZ,,1070,4,1078,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:3c06426a2512ff041005a3e19f1feebea37472aaa768926bdeb612480785b813,001696.SZ,,1521,6,1522,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,447,1,471,0.03,CN,sha256:4084f2f4143e0e80599f477b72cda7a48ce4267b1d6de3b9933d461ae4eba237,002120.SZ,0,447,2,471,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,824,2,824,0.03,CN,sha256:4edab020bb8a86e675821ec921d25a49c727e6d33100b4e8c11975adeec2748b,002120.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1197,3,1199,0.03,CN,sha256:1e7e0576de554f6ae3cd4a914eebf114bcb03e1da657839954dea25c131d21e1,002120.SZ,0,1197,4,1199,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1977,4,1994,0.03,CN,sha256:840dc12b5e48cc52cab4e20b642aa64f9df9946f79c897a72422f5357c137ed9,002120.SZ,0,1977,6,1994,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2201,5,2219,0.03,CN,sha256:ecf4bbec8887f9f45f0e2016b07360c2f64197b2d2ca62c398f9a29c5c58b01d,002120.SZ,0,2201,7,2219,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2234,6,2235,0.03,CN,sha256:588da430f9895d282307d2ff53b566af9229cc45a473630c7ff6cbb71bcb6a34,002120.SZ,0,2234,8,2235,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:f76b1ed995fc19dad4691673511a559effa85b65dc460d97de1c354678f33edc,002120.SZ,,142,1,157,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:b4f2418a77531bc22d6dd235054cbfad2850da38648e6f313f2309f70287f49b,002120.SZ,,815,3,818,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:372041eb4a85613cd8fa7a7e2a493eff1d7475095b8e339313b4b923de63ec0e,002120.SZ,,1777,5,1777,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:6f8972fee93b37ae76203c5ca424d39dbd2eebd5966419d3f79d01e201be8344,002120.SZ,,2265,9,2265,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,142,1,157,0.04,CN,sha256:f76b1ed995fc19dad4691673511a559effa85b65dc460d97de1c354678f33edc,002120.SZ,0,142,2,157,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,447,2,471,0.04,CN,sha256:4084f2f4143e0e80599f477b72cda7a48ce4267b1d6de3b9933d461ae4eba237,002120.SZ,0,447,4,471,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,815,3,818,0.04,CN,sha256:b4f2418a77531bc22d6dd235054cbfad2850da38648e6f313f2309f70287f49b,002120.SZ,0,815,6,818,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1197,4,1199,0.04,CN,sha256:1e7e0576de554f6ae3cd4a914eebf114bcb03e1da657839954dea25c131d21e1,002120.SZ,0,1197,7,1199,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1777,5,1777,0.04,CN,sha256:372041eb4a85613cd8fa7a7e2a493eff1d7475095b8e339313b4b923de63ec0e,002120.SZ,0,1777,9,1777,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1977,6,1994,0.04,CN,sha256:840dc12b5e48cc52cab4e20b642aa64f9df9946f79c897a72422f5357c137ed9,002120.SZ,0,1977,10,1994,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2201,7,2219,0.04,CN,sha256:ecf4bbec8887f9f45f0e2016b07360c2f64197b2d2ca62c398f9a29c5c58b01d,002120.SZ,0,2201,11,2219,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2234,8,2235,0.04,CN,sha256:588da430f9895d282307d2ff53b566af9229cc45a473630c7ff6cbb71bcb6a34,002120.SZ,0,2234,12,2235,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2265,9,2265,0.04,CN,sha256:6f8972fee93b37ae76203c5ca424d39dbd2eebd5966419d3f79d01e201be8344,002120.SZ,0,2265,13,2265,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:1c2691a0257a90dcd73a5274b894e1ae790a5192a5f44b9789d05b12b419c670,002120.SZ,,102,1,107,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4d72213c1ea045fd03e21fd6ac5c9dbea45ca3fb381887dc16dd8d4e9d7e729f,002120.SZ,,192,3,192,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:6c087059587cbe218b0305e7e1255fd17927186c3b6cc8e2beb9491d3f05a31e,002120.SZ,,588,5,597,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:c76b37994954f51ddb975d7eee259380f7691e69d59f50c6f1af5f591ee5858f,002120.SZ,,1546,8,1560,0.05
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,266,1,267,0.03,CN,sha256:064025c78479e1d4bdb4a657d7dd6cd96ac461d7e344bc5ff3074b76e52eecac,002215.SZ,0,266,2,267,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,690,2,691,0.03,CN,sha256:a137c35b74c94b04bf4295fdf6fb44da1a18b256ae838cf60b3fed58f4cb6efa,002215.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,965,3,968,0.03,CN,sha256:5a3a586be6a00d16d742a54b22540c60ab511b859e9845ab4c437317c200e2be,002215.SZ,0,965,6,968,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,996,4,997,0.03,CN,sha256:59965e0e52e0b9702a39985b9e151a7956de6c9e844bf33905b65a5e357a890c,002215.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1938,5,1938,0.03,CN,sha256:e66a124d2f74e267ad064d4e2e1f72171eb16bd34e5c5b4417fbbf382be61326,002215.SZ,0,1938,10,1938,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:99a4c7a8e48369ced37be2750b6a097c6c6fbd5de9612f37f5377f553fb78674,002215.SZ,,185,1,192,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:54760b3b0ce5faf76cf2d735f7191e43506128181714e7cd4043e24e92a2f54e,002215.SZ,,689,3,690,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:72c605682b9aebb685a9a31b9453dc8caad2c82003830469587200c92ad626a4,002215.SZ,,842,4,853,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:11189507827f5afceba6322b2bce0a008dada74b7eeb9c7408774617265b2b0d,002215.SZ,,889,5,909,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:4be2ae5b0977056d9b93973476d9f6034f7cff810d50f2447df262a70fe2f53c,002215.SZ,,990,7,991,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:ef95f079824cbce86968a0b436318c50209258b5774d8c61c332834a0409ca5b,002215.SZ,,1062,8,1093,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:368d8cd14d63819951d4cab24a7044be549d2712cfda0e580c351f1c131965e9,002215.SZ,,1439,9,1477,0.04
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,185,1,192,0.04,CN,sha256:99a4c7a8e48369ced37be2750b6a097c6c6fbd5de9612f37f5377f553fb78674,002215.SZ,0,185,1,192,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,266,2,267,0.04,CN,sha256:064025c78479e1d4bdb4a657d7dd6cd96ac461d7e344bc5ff3074b76e52eecac,002215.SZ,0,266,2,267,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,689,3,690,0.04,CN,sha256:54760b3b0ce5faf76cf2d735f7191e43506128181714e7cd4043e24e92a2f54e,002215.SZ,0,689,3,690,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,842,4,853,0.04,CN,sha256:72c605682b9aebb685a9a31b9453dc8caad2c82003830469587200c92ad626a4,002215.SZ,0,842,4,853,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,889,5,909,0.04,CN,sha256:11189507827f5afceba6322b2bce0a008dada74b7eeb9c7408774617265b2b0d,002215.SZ,0,889,5,909,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,965,6,968,0.04,CN,sha256:5a3a586be6a00d16d742a54b22540c60ab511b859e9845ab4c437317c200e2be,002215.SZ,0,965,6,968,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,990,7,991,0.04,CN,sha256:4be2ae5b0977056d9b93973476d9f6034f7cff810d50f2447df262a70fe2f53c,002215.SZ,,,,,
0.04,0.05,,,,CASCADE_DESCENDANT,1062,8,1093,0.04,CN,sha256:ef95f079824cbce86968a0b436318c50209258b5774d8c61c332834a0409ca5b,002215.SZ,,,,,
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1439,9,1477,0.04,CN,sha256:368d8cd14d63819951d4cab24a7044be549d2712cfda0e580c351f1c131965e9,002215.SZ,0,1439,9,1477,0.05
0.04,0.05,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1938,10,1938,0.04,CN,sha256:e66a124d2f74e267ad064d4e2e1f72171eb16bd34e5c5b4417fbbf382be61326,002215.SZ,0,1938,10,1938,0.05
0.04,0.05,,,,ADDED_LIFECYCLE,,,,,CN,sha256:055c4bbaa19cb187cf871de24f3f0298e3cf3b72dabc514b3c72c2a394861675,002215.SZ,,986,7,987,0.05
0.04,0.05,,,,CASCADE_DESCENDANT,,,,,CN,sha256:de98a4e672494e38399a05901035cfd6b1fe63e76333d61863692d6377b85153,002215.SZ,,1037,8,1093,0.05
0.03,0.04,,,,CASCADE_DESCENDANT,346,1,351,0.03,CN,sha256:99edee8c8a6f3e8cb2db71e3cf097fe9067436092faa0b2f4054d523e5992173,002352.SZ,,,,,
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,516,2,516,0.03,CN,sha256:1b67c1ab8781772b408a875e7fc4fb6d440d4b0e08e0e5f4a4ddc2b3cf5588de,002352.SZ,0,516,4,516,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,685,3,714,0.03,CN,sha256:bea399359422c7ae2106b8a493d3861cd48ebef23b62212b14fddfb7a017200e,002352.SZ,0,685,5,714,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1489,4,1490,0.03,CN,sha256:d535e6e7b36adb602fa549f5444c3fbdfbc7f36e97897bbca3b680411814a8c4,002352.SZ,0,1489,8,1490,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1679,5,1679,0.03,CN,sha256:a8532f672ad7d31ea481b35816010ffcbed1a38a16cd291afda9ad5b5e0019be,002352.SZ,0,1679,9,1679,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1700,6,1701,0.03,CN,sha256:5a6e9199b72d058b0968780c243154b919566e9475e683d5a97e6e83c5b94354,002352.SZ,0,1700,10,1701,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,1858,7,1860,0.03,CN,sha256:5dcc71a97d553c23479bab5f88b398afa3cc7dbefb0f8b55f638d0fd8c580240,002352.SZ,0,1858,11,1860,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2105,8,2106,0.03,CN,sha256:af542ad33687a1ce79f013cb672518e2a93bd2670d8e19651b9d31850925e437,002352.SZ,0,2105,13,2106,0.04
0.03,0.04,0.0,0,0.0,SAME_ROOT_SAME_TERMINAL,2150,9,2157,0.03,CN,sha256:89e7ffe1c1a286606a3434b18b6d48c0fa031ccc8287b60ccdf12f20f4e5541f,002352.SZ,0,2150,14,2157,0.04
0.03,0.04,,,,ADDED_LIFECYCLE,,,,,CN,sha256:71d5d46f1775e745bc1b79f28187d48b021756008b73cb1857d83693a8b342d9,002352.SZ,,266,1,268,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:d71ec1f8c81a1ddf4124c718b158d10a900501bedd30948accac470163f35e0a,002352.SZ,,315,2,351,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:21268b24b10f68ec99a0462e871bda42dab412e7cb02c201de69c6846f1c53d4,002352.SZ,,478,3,479,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:6f0a276ddd9001a0913be3f8dfa4c84986358563754f6a863002b10ba2ceb70a,002352.SZ,,819,6,821,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:056e251ef305423f009077038fd30bbad3681003878f91d7804edd80a79f0778,002352.SZ,,1401,7,1423,0.04
0.03,0.04,,,,CASCADE_DESCENDANT,,,,,CN,sha256:34149e151aef81591965164ad5afeb8c91ff2c5a3bac3dd0ba3398baa4840aa7,002352.SZ,,1977,12,1979,0.04
